player_id,seasons_played,total_gp,total_w,total_l,career_w_pct,total_min,total_fgm,total_fga,career_fg_pct,total_fg3m,total_fg3a,career_fg3_pct,total_ftm,total_fta,career_ft_pct,total_oreb,total_dreb,total_reb,total_ast,total_tov,total_stl,total_blk,total_blka,total_pf,total_pfd,total_pts,total_plus_minus,total_nba_fantasy_pts,total_dd2,total_td3,career_ppg,career_rpg,career_apg,career_spg,career_bpg,career_topg,first_season,last_season
85,6,204,101,103,0.49509802,3079.8535,325.0,779.0,0.41720155,166.0,439.0,0.3781321,193.0,239.0,0.80753136,78.0,185.0,263.0,453.0,269.0,124.0,7.0,38.0,371.0,7.0,1009.0,-19.0,2128.1,0.0,0.0,4.9460783,1.2892157,2.2205882,0.60784316,0.034313727,1.3186275,21996,22001
87,13,805,441,364,0.5478261,22396.256,2345.0,4557.0,0.51459295,0.0,0.0,,1985.0,2796.0,0.70994276,2294.0,5254.0,7548.0,589.0,1157.0,271.0,1803.0,361.0,2022.0,257.0,6675.0,1614.0,21681.098,244.0,4.0,8.291925,9.376397,0.731677,0.33664596,2.2397516,1.4372671,21996,22008
88,1,7,6,1,0.85714287,27.156666,5.0,6.0,0.8333333,0.0,0.0,,1.0,2.0,0.5,1.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,11.0,-12.0,9.6,0.0,0.0,1.5714285,0.42857143,0.0,0.0,0.0,0.71428573,21996,21996
89,10,645,354,291,0.5488372,20826.264,3362.0,8352.0,0.4025383,1078.0,3000.0,0.35933334,1308.0,1643.0,0.79610467,272.0,1631.0,1903.0,4141.0,1328.0,475.0,68.0,269.0,954.0,61.0,9110.0,37.0,17906.098,99.0,0.0,14.124031,2.9503875,6.420155,0.7364341,0.105426356,2.0589147,21996,22005
93,8,423,185,238,0.43735224,9522.9795,1189.0,2661.0,0.4468245,411.0,945.0,0.43492064,302.0,357.0,0.8459384,108.0,581.0,689.0,672.0,375.0,169.0,17.0,88.0,556.0,19.0,3091.0,-574.0,5108.8003,0.0,0.0,7.3073287,1.6288416,1.5886525,0.3995272,0.040189125,0.8865248,21996,22003
95,7,295,149,146,0.50508475,5436.8765,641.0,1288.0,0.4976708,0.0,2.0,0.0,308.0,424.0,0.7264151,414.0,711.0,1125.0,219.0,277.0,132.0,72.0,99.0,800.0,32.0,1590.0,-228.0,3603.5,2.0,0.0,5.3898306,3.8135593,0.7423729,0.44745764,0.2440678,0.938983,21996,22002
96,5,292,195,97,0.66780823,8758.262,1278.0,2699.0,0.47350872,176.0,454.0,0.3876652,952.0,1153.0,0.82567215,395.0,1333.0,1728.0,1032.0,549.0,208.0,81.0,114.0,733.0,20.0,3684.0,1281.0,7623.6,33.0,0.0,12.616438,5.917808,3.5342467,0.7123288,0.27739727,1.880137,21996,22000
98,6,276,159,117,0.57608694,7931.6,1225.0,3034.0,0.40375742,471.0,1380.0,0.34130436,306.0,540.0,0.56666666,302.0,973.0,1275.0,542.0,370.0,366.0,96.0,106.0,478.0,23.0,3227.0,223.0,6586.0005,14.0,0.0,11.692029,4.619565,1.9637681,1.326087,0.3478261,1.3405797,21996,22001
100,4,76,25,51,0.32894737,918.1017,97.0,260.0,0.37307692,29.0,91.0,0.31868133,26.0,35.0,0.74285716,14.0,74.0,88.0,55.0,33.0,12.0,9.0,16.0,107.0,2.0,249.0,-88.0,467.1,0.0,0.0,3.2763157,1.1578947,0.7236842,0.15789473,0.118421055,0.43421054,21996,21999
103,4,175,73,102,0.41714287,3634.2766,582.0,1477.0,0.394042,218.0,594.0,0.36700338,352.0,471.0,0.74734604,154.0,348.0,502.0,217.0,204.0,169.0,77.0,87.0,397.0,10.0,1734.0,-79.0,3195.9,1.0,0.0,9.908571,2.8685715,1.24,0.9657143,0.44,1.1657143,21996,22000
104,4,27,11,16,0.4074074,285.44,30.0,63.0,0.47619048,0.0,0.0,,22.0,34.0,0.64705884,24.0,47.0,71.0,5.0,17.0,5.0,5.0,7.0,38.0,1.0,82.0,0.0,187.70001,0.0,0.0,3.0370371,2.6296296,0.18518518,0.18518518,0.18518518,0.6296296,21996,21999
105,6,343,215,128,0.6268222,9614.312,799.0,2054.0,0.38899708,493.0,1419.0,0.34742776,228.0,308.0,0.74025977,189.0,1124.0,1313.0,807.0,302.0,350.0,83.0,81.0,672.0,27.0,2319.0,1007.0,6102.1006,1.0,0.0,6.760933,3.8279884,2.3527696,1.0204082,0.2419825,0.88046646,21996,22001
107,4,251,127,124,0.5059761,6684.572,1064.0,2405.0,0.44241163,450.0,1121.0,0.4014273,388.0,488.0,0.795082,188.0,460.0,648.0,306.0,285.0,158.0,15.0,84.0,428.0,8.0,2966.0,-47.0,4436.6,1.0,0.0,11.816733,2.5816734,1.2191235,0.6294821,0.059760958,1.1354581,21996,21999
